repeat,tick,warmup,phase,cpu_ms
1,705,false,rally,0.0018341541290283203
1,706,false,rally,0.0017910003662109375
1,707,false,rally,0.0021669864654541016
1,708,false,rally,0.001917123794555664
1,709,false,rally,0.0018329620361328125
1,710,false,rally,0.0017919540405273438
1,711,false,rally,0.0018329620361328125
1,712,false,rally,0.002124786376953125
1,713,false,point,0.005959033966064453
1,714,false,point,0.0016248226165771484
1,715,false,point,0.0014998912811279297
1,716,false,point,0.0015840530395507812
1,717,false,point,0.0014579296112060547
1,718,false,point,0.001458883285522461
1,719,false,point,0.0014579296112060547
1,720,false,point,0.001416921615600586
1,721,false,point,0.0017919540405273438
1,722,false,point,0.0014581680297851562
1,723,false,point,0.0014171600341796875
1,724,false,point,0.0014579296112060547
1,725,false,point,0.0014579296112060547
1,726,false,point,0.0014579296112060547
1,727,false,point,0.001458883285522461
1,728,false,point,0.0014579296112060547
1,729,false,point,0.0013751983642578125
1,730,false,point,0.0014591217041015625
1,731,false,point,0.0014579296112060547
1,732,false,point,0.001416921615600586
1,733,false,point,0.0014579296112060547
1,734,false,point,0.001416921615600586
1,735,false,point,0.001416921615600586
1,736,false,point,0.0014579296112060547
1,737,false,point,0.0014171600341796875
1,738,false,point,0.0014159679412841797
1,739,false,point,0.0015001296997070312
1,740,false,point,0.0014159679412841797
1,741,false,point,0.001416921615600586
1,742,false,point,0.0014579296112060547
1,743,false,point,0.001458883285522461
1,744,false,point,0.001416921615600586
1,745,false,point,0.0014162063598632812
1,746,false,point,0.001416921615600586
1,747,false,point,0.0014579296112060547
1,748,false,point,0.0014159679412841797
1,749,false,point,0.001416921615600586
1,750,false,point,0.001374959945678711
1,751,false,point,0.0014171600341796875
1,752,false,point,0.0014159679412841797
1,753,false,point,0.001416921615600586
1,754,false,point,0.001374959945678711
1,755,false,point,0.0014579296112060547
